"sourceid","dstid","year","avg_travel_time"
960,2097,2019,26.5255555555556
960,2097,2020,25.8518333333333
960,2098,2017,32.8990757575758
960,2098,2018,32.6960925925926
960,2098,2019,34.6645416666667
960,2098,2020,32.4604444444444
960,2099,2016,30.3535555555556
960,2099,2017,30.4065694444444
960,2099,2018,30.1082222222222
960,2099,2019,29.2354722222222
960,2099,2020,28.8209444444444
960,2100,2015,25.5891
960,2100,2016,25.4072361111111
960,2100,2017,25.6254722222222
960,2100,2018,25.725462962963
960,2100,2019,25.4143055555556
960,2100,2020,25.6892222222222
960,2101,2015,24.3223333333333
960,2101,2016,26.1399
960,2101,2017,26.9763333333333
960,2101,2018,25.0570555555556
960,2101,2019,23.6496527777778
960,2101,2020,22.2326111111111
960,2102,2015,25.1953333333333
960,2102,2016,24.8556111111111
960,2102,2017,25.3716527777778
960,2102,2018,25.2625740740741
960,2102,2019,24.9379583333333
960,2102,2020,24.5842777777778
960,2103,2015,25.7871875
960,2103,2016,25.3174305555556
960,2103,2017,25.6505833333333
960,2103,2018,25.2762777777778
960,2103,2019,25.423125
960,2103,2020,25.0033888888889
960,2104,2016,33.4464166666667
960,2104,2017,31.0141363636364
960,2104,2018,31.6656111111111
960,2104,2019,32.8216111111111
960,2104,2020,33.8145
960,2105,2017,29.1029166666667
960,2105,2018,29.3624444444444
960,2105,2019,32.172
960,2105,2020,29.2995
960,2106,2015,27.9771041666667
960,2106,2016,27.3585833333333
960,2106,2017,27.7203333333333
960,2106,2018,27.6708333333333
960,2106,2019,27.5025416666667
960,2106,2020,26.8344444444444
960,2107,2016,28.7421666666667
960,2107,2017,29.524125
960,2107,2018,29.0046111111111
960,2107,2019,27.9145694444444
960,2107,2020,28.0041111111111
960,2108,2016,29.1276666666667
960,2108,2017,29.7895
960,2108,2018,29.1307407407407
960,2108,2019,29.4170694444444
960,2108,2020,27.8637777777778
960,2109,2017,33.6464333333333
960,2109,2018,32.9772222222222
960,2109,2019,30.4406666666667
960,2110,2015,25.8399444444444
960,2110,2016,25.925625
960,2110,2017,26.1559444444444
960,2110,2018,25.9587962962963
960,2110,2019,25.3937361111111
960,2110,2020,25.0222222222222
960,2111,2016,30.7079047619048
960,2111,2017,31.1460555555556
960,2111,2018,30.5082592592593
960,2111,2019,30.3235416666667
960,2111,2020,29.2156666666667
960,2112,2015,24.025125
960,2112,2016,23.1088888888889
960,2112,2017,23.1294027777778
960,2112,2018,23.0506481481481
960,2112,2019,23.7675972222222
960,2112,2020,23.0619444444444
960,2113,2015,24.4051666666667
960,2113,2016,24.9951666666667
960,2113,2017,24.8031388888889
960,2113,2018,24.6342592592593
960,2113,2019,25.2792638888889
960,2113,2020,23.5152777777778
960,2114,2015,22.8690208333333
960,2114,2016,22.1374583333333
960,2114,2017,22.2429305555556
960,2114,2018,22.1251481481481
960,2114,2019,22.8236805555556
960,2114,2020,22.9177222222222
960,2115,2016,28.0059259259259
960,2115,2017,27.2929166666667
960,2115,2018,27.000037037037
960,2115,2019,26.7474444444444
960,2115,2020,26.7408888888889
960,2116,2016,28.8661666666667
960,2116,2017,28.9950694444444
960,2116,2018,28.5234259259259
960,2116,2019,28.5270555555556
960,2117,2016,32.1283571428571
960,2117,2017,32.8754722222222
960,2117,2018,30.8903888888889
960,2117,2019,29.4043611111111
960,2117,2020,27.7571111111111
960,2118,2015,28.8728333333333
960,2118,2016,29.2220694444444
960,2118,2017,31.0912777777778
960,2118,2018,28.5507592592593
